"","Commune","Pourcentage de oui"
"1","Lajoux (JU)",83.846153846
"2","Miglieglia (TI)",80.487804878
"3","Romainmôtier-Envy (VD)",80.295566502
"4","Mauraz (VD)",77.777777778
"5","Les Enfers (JU)",77.272727273
"6","Mervelier (JU)",76.165803109
"7","Delémont (JU)",75.939149333
"8","Clarmont (VD)",75.862068966
"9","Mergoscia (TI)",75.280898876
"10","Lausanne (VD)",75.12667273
"11","Campo (Vallemaggia) (TI)",75
"12","Croy (VD)",75
"13","Montfaucon (JU)",75
"14","Saint-Brais (JU)",74.712643678
"15","Berne (BE)",74.67929891
"16","Saignelégier (JU)",74.509803922
"17","Le Noirmont (JU)",74.506578947
"18","Montpreveyres (VD)",74.226804124
"19","Vevey (VD)",73.181399632
"20","Courtételle (JU)",73.044692737
"21","Bedigliora (TI)",72.807017544
"22","Mettembert (JU)",72.727272727
"23","Neuchâtel (NE)",72.698634932
"24","Fribourg (FR)",72.548460661
"25","Bourrignon (JU)",72.380952381
"26","Courchapoix (JU)",72.142857143
"27","Saulcy (JU)",72
"28","La Chaux-de-Fonds (NE)",71.802221426
"29","Moiry (VD)",71.428571429
"30","Beurnevésin (JU)",71.428571429
"31","Fontenais (JU)",71.428571429
"32","Haute-Sorne (JU)",71.334792123
"33","Chavannes-près-Renens (VD)",71.223709369
"34","Mutrux (VD)",70.909090909
"35","Châtillon (JU)",70.625
"36","Bienne (BE)",70.535291331
"37","Val Terbi (JU)",70.525187567
"38","Carouge (GE)",69.943609023
"39","Ependes (FR)",69.873417722
"40","La Ferrière (BE)",69.871794872
"41","Avully (GE)",69.791666667
"42","La Chaux-des-Breuleux (JU)",69.76744186
"43","Les Bois (JU)",69.736842105
"44","Courroux (JU)",69.603524229
"45","Lohn (GR)",69.565217391
"46","Renens (VD)",69.559748428
"47","Les Breuleux (JU)",69.53125
"48","Orny (VD)",69.105691057
"49","Villeret (BE)",69.102990033
"50","Soral (GE)",68.783068783
